"Wavenumber","PSI_002","PSI_003","PSI_004","PSI_005","PSI_006","PSI_007","PSI_008","PSI_009","PSI_010","PSI_011","PSI_012","PSI_013","PSI_014","PSI_015","PSI_016","PSI_017","PSI_018","PSI_019","PSI_020","PSI_022"
2945.14803,0.44139,0.7377,0.44765,0.75211,0.6744,0.88282,0.37954,0.74779,0.64606,0.52226,0.54513,0.42161,0.54187,0.8453,0.47227,0.39849,0.73741,0.39611,0.8202,0.55684
2943.21931,0.44088,0.73684,0.44716,0.75137,0.67372,0.8819,0.37912,0.74704,0.64549,0.52189,0.54473,0.42139,0.54162,0.84467,0.47177,0.39805,0.7366,0.39564,0.81928,0.55616
2941.2906,0.44046,0.73611,0.4468,0.75082,0.67322,0.88124,0.3788,0.74648,0.64528,0.52168,0.54461,0.42129,0.54174,0.84438,0.47145,0.3977,0.73604,0.39528,0.81865,0.55567
2939.36188,0.44003,0.73532,0.44647,0.75026,0.67272,0.8805,0.37847,0.74587,0.64522,0.52149,0.54462,0.4212,0.54207,0.84417,0.47119,0.39736,0.73553,0.39493,0.81808,0.55521
2937.43317,0.43954,0.73439,0.4461,0.74957,0.67212,0.8795,0.37807,0.74509,0.6452,0.52122,0.54467,0.421,0.54251,0.84386,0.47094,0.39696,0.73493,0.39449,0.81746,0.55468
2935.50445,0.439,0.73333,0.44569,0.74877,0.67141,0.87829,0.37759,0.74413,0.64522,0.52083,0.54474,0.42064,0.54301,0.8434,0.47069,0.3965,0.73424,0.39397,0.81678,0.55409
2933.57574,0.43839,0.73217,0.44521,0.74786,0.67058,0.87686,0.37701,0.74301,0.64523,0.52029,0.5448,0.4201,0.54351,0.84273,0.47042,0.39597,0.73347,0.39335,0.81606,0.55344
2931.64702,0.43774,0.73093,0.44469,0.74685,0.66964,0.87528,0.37638,0.7418,0.64522,0.51957,0.54482,0.41937,0.54399,0.84186,0.47013,0.39536,0.73263,0.39264,0.81529,0.55272
2929.71831,0.43708,0.72972,0.44418,0.74589,0.6687,0.87377,0.37575,0.74065,0.64523,0.51872,0.54484,0.41848,0.54445,0.84098,0.46985,0.39471,0.73183,0.39188,0.8146,0.55198
2927.78959,0.43645,0.72864,0.44371,0.74508,0.66788,0.87254,0.37517,0.73967,0.64528,0.51775,0.54485,0.41745,0.54487,0.84025,0.46961,0.39406,0.73117,0.3911,0.81407,0.55129
2925.86088,0.43583,0.72759,0.44325,0.74434,0.66706,0.87145,0.37459,0.73876,0.64519,0.51661,0.54474,0.41624,0.54509,0.83949,0.46933,0.39337,0.73055,0.39027,0.81356,0.55056
2923.93216,0.43516,0.72646,0.44272,0.7435,0.66611,0.87025,0.37397,0.73774,0.64479,0.51523,0.54439,0.41482,0.54495,0.83848,0.46895,0.39261,0.72981,0.38933,0.81286,0.54971
2922.00345,0.43441,0.72523,0.44211,0.74248,0.66497,0.86881,0.37328,0.73658,0.644,0.5136,0.54374,0.41319,0.54438,0.83715,0.46846,0.39176,0.72887,0.38826,0.81193,0.54871
2920.07473,0.43357,0.72386,0.44143,0.7413,0.66366,0.86714,0.37252,0.73526,0.6428,0.51176,0.54278,0.41141,0.54335,0.83549,0.46783,0.39082,0.7277,0.38708,0.81074,0.54757
2918.14602,0.43266,0.72239,0.44062,0.74,0.6622,0.8653,0.37168,0.7338,0.64108,0.5098,0.54139,0.40955,0.54171,0.83343,0.46695,0.38978,0.72627,0.38583,0.80922,0.54623
2916.2173,0.43166,0.72089,0.43961,0.73868,0.66063,0.86342,0.37076,0.73229,0.63877,0.50782,0.53943,0.40771,0.53933,0.83095,0.46566,0.38859,0.72456,0.38459,0.8073,0.54469
2914.28859,0.43064,0.71953,0.43841,0.73747,0.6591,0.86175,0.3698,0.73093,0.63596,0.50595,0.53698,0.40596,0.53631,0.82826,0.46392,0.38732,0.72268,0.38343,0.80505,0.543
2912.35987,0.42968,0.7184,0.43716,0.73649,0.65778,0.86049,0.36888,0.72986,0.63308,0.50426,0.53443,0.40439,0.53314,0.82578,0.46202,0.3861,0.72092,0.38241,0.80281,0.54137
2910.43116,0.4288,0.71744,0.436,0.73569,0.65666,0.85953,0.36806,0.72902,0.63051,0.50275,0.53215,0.40296,0.53033,0.82373,0.46029,0.38502,0.71943,0.38151,0.80084,0.53994
2908.50244,0.42796,0.71647,0.43496,0.73489,0.65561,0.85854,0.36727,0.72816,0.62832,0.50132,0.53025,0.40162,0.52803,0.82195,0.45883,0.38404,0.71809,0.38063,0.79913,0.53865
2906.57373,0.42711,0.71538,0.43396,0.73396,0.65448,0.85732,0.36647,0.72714,0.6264,0.49989,0.5286,0.40031,0.52607,0.82024,0.45756,0.3831,0.71677,0.37974,0.79752,0.5374
2904.64501,0.42623,0.7142,0.43298,0.73293,0.65329,0.85595,0.36565,0.72602,0.62463,0.49847,0.5271,0.39902,0.52434,0.81854,0.45639,0.38217,0.71547,0.37883,0.79596,0.53617
2902.7163,0.42537,0.71299,0.43201,0.73188,0.65208,0.85458,0.36484,0.72487,0.62298,0.49708,0.5257,0.39776,0.52276,0.8169,0.4553,0.38127,0.71422,0.37792,0.79445,0.53499
2900.78758,0.4245,0.71177,0.43105,0.73079,0.65088,0.85321,0.36403,0.72371,0.62139,0.49573,0.52436,0.39655,0.52127,0.8153,0.45424,0.38038,0.71299,0.37702,0.79296,0.53383
2898.85887,0.42361,0.7105,0.43005,0.72963,0.64964,0.85174,0.3632,0.72249,0.61981,0.49438,0.52304,0.39534,0.5198,0.81364,0.45319,0.37949,0.71171,0.37612,0.79144,0.53264
2896.93015,0.42271,0.70923,0.42903,0.72841,0.64838,0.85019,0.36237,0.72123,0.61824,0.49306,0.52173,0.39414,0.51834,0.81194,0.45214,0.37859,0.71041,0.37523,0.78991,0.53144
2895.00144,0.42184,0.70804,0.42806,0.72725,0.64718,0.84874,0.36157,0.72004,0.61675,0.49181,0.5205,0.393,0.51696,0.81036,0.45114,0.37773,0.70919,0.37438,0.78849,0.53031
2893.07272,0.42102,0.70695,0.42714,0.72619,0.64609,0.84747,0.36082,0.71896,0.61537,0.49063,0.51933,0.39195,0.51567,0.80895,0.45021,0.37692,0.70809,0.37358,0.78717,0.52925
2891.14401,0.42022,0.70588,0.42624,0.72517,0.64503,0.84625,0.36009,0.7179,0.61401,0.48949,0.5182,0.39097,0.51441,0.80761,0.44929,0.37614,0.70702,0.37281,0.78587,0.52821
2889.21529,0.4194,0.70478,0.42532,0.72413,0.64395,0.845,0.35936,0.71681,0.61264,0.48839,0.51707,0.39002,0.51314,0.80624,0.44835,0.37537,0.70588,0.37204,0.78453,0.52716
2887.28658,0.41859,0.70366,0.4244,0.72308,0.64286,0.84371,0.35863,0.71571,0.61125,0.48733,0.51596,0.38912,0.51188,0.80488,0.44741,0.37462,0.70472,0.37129,0.78318,0.5261
2885.35786,0.4178,0.70254,0.42351,0.72203,0.64177,0.84239,0.35793,0.71461,0.60991,0.48633,0.51488,0.38828,0.51068,0.80356,0.4465,0.3739,0.70357,0.37057,0.78186,0.52507
2883.42915,0.41704,0.70142,0.42266,0.72099,0.64072,0.84109,0.35723,0.71353,0.60866,0.4854,0.51386,0.38751,0.50957,0.80231,0.44564,0.3732,0.70246,0.36989,0.78056,0.52409
2881.50043,0.4163,0.70031,0.42186,0.71997,0.63971,0.83981,0.35655,0.71246,0.60751,0.48453,0.51292,0.38682,0.50858,0.80114,0.44482,0.37253,0.70137,0.36922,0.77931,0.52313
2879.57171,0.41558,0.6992,0.42108,0.71893,0.63871,0.83852,0.35588,0.71136,0.60644,0.48372,0.51204,0.38615,0.50769,0.79999,0.44402,0.37186,0.70029,0.36857,0.77808,0.5222
2877.643,0.41483,0.69801,0.42029,0.71782,0.63765,0.83709,0.35519,0.71016,0.6054,0.4829,0.51119,0.38548,0.50688,0.79876,0.44323,0.37117,0.69914,0.36788,0.77681,0.52123
2875.71428,0.41405,0.69671,0.41948,0.71662,0.63649,0.83547,0.35448,0.70885,0.60437,0.48202,0.51033,0.38474,0.50611,0.7974,0.44243,0.37044,0.69791,0.36715,0.77547,0.52021
2873.78557,0.41329,0.69544,0.4187,0.71547,0.63537,0.83391,0.3538,0.70759,0.60343,0.48114,0.50955,0.38398,0.50545,0.79611,0.44167,0.36972,0.69673,0.36642,0.77418,0.51923
2871.85685,0.41264,0.69438,0.41803,0.71451,0.63448,0.83269,0.35321,0.70657,0.6027,0.4803,0.50894,0.38323,0.50496,0.79512,0.44103,0.36908,0.69578,0.36578,0.77312,0.51841
2869.92814,0.41207,0.69347,0.41744,0.71367,0.63375,0.83172,0.35267,0.70571,0.60206,0.47949,0.50841,0.38249,0.50454,0.79434,0.44045,0.36849,0.69502,0.3652,0.77223,0.51768
2867.99942,0.41146,0.69253,0.41681,0.71279,0.63298,0.83068,0.35211,0.70479,0.60135,0.47864,0.50782,0.3817,0.50403,0.79349,0.43983,0.36788,0.69422,0.36458,0.7713,0.51691
2866.07071,0.4108,0.69147,0.41612,0.71182,0.63209,0.82946,0.35151,0.70373,0.60052,0.47774,0.50714,0.38088,0.50342,0.79247,0.43917,0.36722,0.6933,0.36389,0.77027,0.51605
2864.14199,0.41009,0.69033,0.41541,0.71077,0.63112,0.82814,0.35087,0.70257,0.59967,0.47682,0.50646,0.38006,0.50281,0.79137,0.43849,0.36654,0.69232,0.36319,0.76919,0.51515
2862.21328,0.40936,0.68914,0.41471,0.70969,0.63012,0.82673,0.35022,0.70137,0.5989,0.47591,0.50583,0.37923,0.50229,0.79026,0.43785,0.36587,0.69133,0.36248,0.76812,0.51427
2860.28456,0.40864,0.68796,0.41404,0.70861,0.62915,0.82533,0.34958,0.70019,0.59827,0.47502,0.5053,0.37841,0.50194,0.78921,0.43726,0.36523,0.69038,0.36178,0.76711,0.51343
2858.35585,0.40797,0.68684,0.41343,0.7076,0.62828,0.82403,0.34898,0.69913,0.59779,0.47413,0.50491,0.37755,0.5018,0.78831,0.43677,0.36461,0.68952,0.36109,0.76625,0.51265
2856.42713,0.40733,0.68576,0.41289,0.70665,0.62747,0.82282,0.34841,0.69813,0.5974,0.47316,0.50461,0.37659,0.50182,0.78751,0.43636,0.36399,0.68875,0.36037,0.76552,0.51189
2854.49842,0.40671,0.68466,0.41238,0.70567,0.62661,0.82159,0.34786,0.69708,0.597,0.47201,0.50433,0.37547,0.50186,0.78668,0.436,0.36335,0.688,0.35957,0.76481,0.51113
2852.5697,0.40606,0.6835,0.41187,0.70464,0.62563,0.82027,0.34729,0.69596,0.59649,0.47067,0.50398,0.37417,0.50176,0.78574,0.43567,0.36266,0.68721,0.35867,0.76406,0.51031
2850.64099,0.40537,0.68227,0.4113,0.70356,0.62451,0.81883,0.34669,0.69478,0.59561,0.46916,0.5033,0.37272,0.50118,0.78447,0.4352,0.36189,0.68626,0.35767,0.76309,0.50937
2848.71227,0.40459,0.68103,0.41052,0.70244,0.62328,0.81735,0.34601,0.69361,0.59407,0.46755,0.502,0.3712,0.49973,0.78272,0.43432,0.36096,0.68499,0.35664,0.7617,0.50819
2846.78356,0.40373,0.67984,0.40948,0.70136,0.62199,0.81595,0.34525,0.69249,0.59184,0.46594,0.50004,0.36968,0.49737,0.78054,0.43291,0.35987,0.68343,0.35562,0.75982,0.50675
2844.85484,0.40282,0.67868,0.40827,0.7003,0.62069,0.81461,0.34445,0.69139,0.58924,0.46434,0.49774,0.3682,0.49457,0.77817,0.43121,0.3587,0.68173,0.35462,0.75767,0.50517
2842.92613,0.40188,0.67744,0.40703,0.69916,0.61933,0.81312,0.34361,0.69018,0.58666,0.46272,0.4955,0.36673,0.49187,0.77578,0.42951,0.35754,0.68001,0.35359,0.75547,0.50356
2840.99741,0.40091,0.67608,0.40585,0.69788,0.61792,0.81141,0.34274,0.6888,0.58427,0.4611,0.49347,0.36528,0.48948,0.77344,0.42797,0.35644,0.67832,0.35252,0.75333,0.50198
2839.0687,0.39998,0.67471,0.40476,0.6966,0.61655,0.80971,0.3419,0.68741,0.58219,0.45956,0.49173,0.36389,0.48745,0.7713,0.42664,0.35542,0.67676,0.35148,0.75138,0.50052
2837.13998,0.39913,0.67351,0.4038,0.69549,0.61539,0.8083,0.34112,0.6862,0.58044,0.45817,0.49028,0.36264,0.48578,0.76958,0.42552,0.35453,0.67547,0.35056,0.74975,0.49926
2835.21127,0.39836,0.67244,0.40294,0.69453,0.61441,0.80717,0.34039,0.68517,0.57895,0.45692,0.48907,0.36152,0.48436,0.7682,0.42455,0.35373,0.6744,0.34973,0.74838,0.49816
2833.28255,0.39759,0.6714,0.40209,0.69356,0.61346,0.80609,0.33965,0.68414,0.57755,0.45575,0.48795,0.36047,0.48308,0.76693,0.42363,0.35297,0.67338,0.34893,0.74708,0.49712
2831.35384,0.39679,0.67032,0.40124,0.69252,0.61245,0.80492,0.33888,0.68307,0.57618,0.4546,0.48687,0.35945,0.48186,0.76566,0.42272,0.35222,0.67232,0.34813,0.74577,0.49608
2829.42512,0.39597,0.6692,0.40037,0.69142,0.6114,0.80366,0.3381,0.68194,0.57484,0.45348,0.4858,0.35845,0.48068,0.76436,0.42181,0.35147,0.67123,0.34732,0.74443,0.49503
2827.49641,0.39515,0.66805,0.39949,0.69028,0.61032,0.80231,0.33731,0.68078,0.57352,0.45237,0.48475,0.35747,0.47953,0.76304,0.4209,0.35071,0.6701,0.34651,0.74308,0.49398
2825.56769,0.39433,0.66687,0.39862,0.68912,0.60922,0.80092,0.33654,0.67961,0.57221,0.45127,0.48369,0.35651,0.47841,0.76171,0.42,0.34995,0.66896,0.34571,0.74172,0.49292
2823.63898,0.39352,0.66569,0.39776,0.68796,0.60813,0.79952,0.33579,0.67843,0.57093,0.45018,0.48266,0.35556,0.47732,0.76039,0.41912,0.34921,0.66782,0.34491,0.74037,0.49187
2821.71026,0.39272,0.66451,0.39691,0.68682,0.60706,0.79814,0.33505,0.67728,0.5697,0.44911,0.48165,0.35462,0.47627,0.75908,0.41826,0.34848,0.66671,0.34412,0.73903,0.49083
2819.78155,0.39194,0.66333,0.39607,0.6857,0.60602,0.79679,0.33433,0.67613,0.5685,0.44805,0.48066,0.35369,0.47526,0.7578,0.41742,0.34776,0.66564,0.34333,0.7377,0.48981
2817.85283,0.39117,0.66218,0.39525,0.68459,0.60498,0.79548,0.33362,0.67499,0.56731,0.44701,0.47969,0.35276,0.47427,0.75655,0.41658,0.34705,0.66458,0.34255,0.73637,0.4888
2815.92411,0.3904,0.66102,0.39443,0.68347,0.60393,0.79417,0.33292,0.67384,0.56612,0.44599,0.47872,0.35185,0.4733,0.75531,0.41574,0.34634,0.66351,0.34177,0.73505,0.48778
2813.9954,0.38962,0.65984,0.39361,0.68232,0.60285,0.7928,0.33222,0.67265,0.5649,0.44495,0.47774,0.35093,0.47231,0.75404,0.4149,0.34562,0.66241,0.34098,0.73371,0.48673
2812.06668,0.38884,0.65863,0.39278,0.68111,0.60175,0.79133,0.33151,0.67144,0.56368,0.44389,0.47675,0.35001,0.4713,0.75271,0.41404,0.34488,0.66125,0.34018,0.73235,0.48568
2810.13797,0.38806,0.65743,0.39196,0.67992,0.60067,0.78987,0.33081,0.67027,0.56249,0.44285,0.47578,0.34911,0.47033,0.7514,0.41321,0.34416,0.6601,0.33939,0.731,0.48464
2808.20925,0.38732,0.65631,0.39119,0.67881,0.59968,0.78856,0.33015,0.66918,0.56136,0.44185,0.47487,0.34823,0.46942,0.75022,0.41241,0.34347,0.65904,0.33862,0.72973,0.48367
2806.28054,0.3866,0.65523,0.39045,0.67774,0.59873,0.78736,0.32952,0.66813,0.56028,0.44088,0.474,0.34739,0.46856,0.7491,0.41165,0.34281,0.65806,0.33788,0.72851,0.48273
2804.35182,0.38588,0.65412,0.38969,0.67665,0.59777,0.78612,0.32888,0.66705,0.55918,0.4399,0.47312,0.34653,0.46768,0.74793,0.41088,0.34213,0.65705,0.33713,0.72728,0.48177
2802.42311,0.38513,0.65293,0.3889,0.67549,0.59673,0.78475,0.32821,0.66588,0.55803,0.43889,0.47219,0.34565,0.46675,0.74666,0.41007,0.34142,0.65595,0.33634,0.72596,0.48075
2800.49439,0.38436,0.65169,0.38808,0.67427,0.59562,0.78324,0.32751,0.66463,0.55683,0.43786,0.47122,0.34474,0.46579,0.74529,0.40923,0.34069,0.65476,0.33553,0.72456,0.47969
2798.56568,0.38359,0.65046,0.38726,0.67307,0.59451,0.78175,0.32682,0.6634,0.55563,0.43683,0.47026,0.34384,0.46483,0.74395,0.4084,0.33997,0.65357,0.33472,0.72318,0.47863
2796.63696,0.38287,0.64933,0.3865,0.67194,0.59348,0.78041,0.32616,0.66228,0.55451,0.43584,0.46936,0.34298,0.46394,0.74274,0.40761,0.33929,0.65248,0.33396,0.72191,0.47764
2794.70825,0.38217,0.64822,0.38575,0.67085,0.59252,0.77914,0.32554,0.66123,0.55344,0.43488,0.46849,0.34214,0.46308,0.7416,0.40684,0.33862,0.65145,0.33323,0.72069,0.4767
2792.77953,0.38144,0.64706,0.38498,0.66971,0.5915,0.77779,0.3249,0.6601,0.55233,0.43389,0.46758,0.34129,0.46217,0.74038,0.40605,0.33793,0.65039,0.33247,0.7194,0.47571
2790.85082,0.38068,0.64584,0.38418,0.66851,0.59043,0.77634,0.32424,0.6589,0.55117,0.43289,0.46663,0.34042,0.46123,0.73908,0.40524,0.33721,0.64925,0.33168,0.71804,0.47468
2788.9221,0.37994,0.64469,0.38343,0.66736,0.58941,0.77499,0.32359,0.65776,0.55005,0.4319,0.46573,0.33956,0.46035,0.73785,0.40445,0.33651,0.64817,0.33091,0.71674,0.47369
2786.99339,0.37926,0.64364,0.38273,0.66632,0.58848,0.77382,0.32299,0.65676,0.54903,0.43097,0.46491,0.33875,0.45955,0.73677,0.40372,0.33586,0.6472,0.3302,0.71557,0.47277
2785.06467,0.37859,0.64262,0.38204,0.66532,0.5876,0.77273,0.3224,0.65581,0.54803,0.43007,0.46413,0.33796,0.45878,0.73573,0.40301,0.33523,0.64627,0.32951,0.71443,0.47187
2783.13596,0.3779,0.64156,0.38132,0.66427,0.58667,0.77157,0.32179,0.6548,0.54699,0.42914,0.4633,0.33715,0.45797,0.73463,0.40227,0.33458,0.64531,0.3288,0.71323,0.47095
2781.20724,0.37718,0.64044,0.38057,0.66315,0.58568,0.7703,0.32116,0.65371,0.54591,0.42818,0.46242,0.33632,0.45712,0.73345,0.40149,0.33391,0.64427,0.32807,0.71195,0.46999
2779.27853,0.37645,0.63927,0.3798,0.66197,0.58463,0.76892,0.3205,0.65255,0.54479,0.4272,0.46151,0.33547,0.45623,0.7322,0.40069,0.33321,0.64317,0.32731,0.71063,0.46899
2777.34981,0.37569,0.63805,0.37902,0.66074,0.58353,0.76743,0.31982,0.65134,0.54363,0.42619,0.46056,0.33461,0.4553,0.73087,0.39988,0.3325,0.64202,0.32653,0.70928,0.46797
2775.4211,0.37495,0.63685,0.37824,0.65951,0.58245,0.76595,0.31915,0.65013,0.54248,0.42519,0.45963,0.33377,0.45438,0.72954,0.39907,0.33179,0.64086,0.32575,0.70793,0.46694
2773.49238,0.37425,0.63574,0.3775,0.65837,0.58148,0.76465,0.31852,0.64903,0.54139,0.42423,0.45875,0.33296,0.45353,0.72835,0.39831,0.33112,0.6398,0.32501,0.70667,0.46598
2771.56367,0.37358,0.6347,0.3768,0.6573,0.58059,0.76349,0.31793,0.64801,0.54038,0.42332,0.45794,0.33218,0.45274,0.72729,0.39759,0.33049,0.63883,0.32431,0.70551,0.46507
2769.63495,0.3729,0.63364,0.37609,0.65623,0.57969,0.7623,0.31734,0.647,0.53938,0.42242,0.45714,0.3314,0.45194,0.72623,0.39687,0.32985,0.63787,0.32361,0.70435,0.46416
2767.70624,0.37219,0.63254,0.37537,0.65513,0.57873,0.76101,0.31673,0.64595,0.53834,0.42151,0.45631,0.33061,0.45112,0.7251,0.39613,0.3292,0.63686,0.3229,0.70314,0.46322
2765.77752,0.37148,0.63141,0.37463,0.65402,0.57773,0.75968,0.3161,0.64486,0.53727,0.42058,0.45546,0.32981,0.45028,0.7239,0.39537,0.32854,0.63581,0.32217,0.70189,0.46227
2763.84881,0.37077,0.63029,0.37389,0.65288,0.57671,0.75837,0.31548,0.64377,0.5362,0.41965,0.45459,0.32902,0.44942,0.72269,0.3946,0.32787,0.63475,0.32144,0.70063,0.46132
2761.92009,0.37006,0.62915,0.37316,0.65174,0.5757,0.75706,0.31485,0.64266,0.53513,0.41872,0.45372,0.32823,0.44857,0.72149,0.39384,0.3272,0.63367,0.32071,0.69939,0.46037
2759.99138,0.36935,0.62801,0.37242,0.6506,0.57469,0.75574,0.31422,0.64154,0.53406,0.41778,0.45285,0.32745,0.44772,0.7203,0.39307,0.32655,0.63259,0.31998,0.69813,0.45941
2758.06266,0.36864,0.62687,0.37168,0.64946,0.57369,0.75442,0.31361,0.64042,0.533,0.41686,0.45198,0.32666,0.44688,0.71911,0.39232,0.32589,0.63152,0.31925,0.69685,0.45845
2756.13395,0.36793,0.62574,0.37094,0.64833,0.57269,0.75311,0.313,0.6393,0.53195,0.41595,0.45113,0.32587,0.44603,0.71793,0.39156,0.32523,0.63045,0.31853,0.69558,0.4575
